Text,Is_PII
On the Coast Starlight what is the difference between the $22.95 coach seat and the $45.05 coach seat?,
"What is the phone number of the regional transportation center syracuse, NY",
How early do I need to be at the station (Penn-NY) prior to boarding?,
Are passengers able to transport a jet ski on the auto train?,
How can I find my cname- Guest Rewards number when my email address has changed?,
I can't find a place to enter the return trip for the trip back,
"My eVoucher expired on 10/24/15. I understand that it expired after 1 year, but was hoping that perhaps you could override the system to allow my use of the $31.50 voucher? Only 9 days past date. Thx",
How do I go back to print out receipt for an cname- eTicket? (October 5/7) RES#--------------,
"please tell me the train availability between Cherry Hill, NJ and Washington Union Station - Washington DC",
Hi -----! I am looking to dispute a charge. cname- charged me for two tickets after I modified my reservation.,
if i purchase an acela business class seat am i guarenteed to get a seat verses stand on a train,
"-----, I need to make this a one-way ticket. Leaving on 11/20 same time4:46am, but want to cancel the return train. How can I do this? ------------------",
"If I purchase an ""unreserved"" coach seat does this mean I may not have a seat available when I get there?",
Just to check the train new york to Boston at 11 am tomorrow. is that a fast train,
"I want to buy a ticket. I have filled in the information but the ""find trains"" button is grayed out and won't work. What am I doing wrong?",
"I am trying to redeem points for a trip, but it says that I do not have enough points.",
"How much does it cost for 2 seniors and 1 auto from Lorton, VA toJackeonville, FL",
hi. i need to link an existing reservation to an account. can you help me with this?,
why is it giving be bus service when i search train service?,
Hi...I am having problems cancelling a reservation. problem with CC expiration date.,
if I miss my train can the ticket be used in the future,
I am wanting to book the California ZephyrTrain for next September could you tell me when that would go on sale?,
"Hi, I would like to travel from Los Angeles to New Orleans on the Sunset Limited sometime in Janaury",
hi is the 11 coast starlight a direct train ride from San Jose to Los Angeles,
Yes please. Are there any extra trains added to schedule from yonkers north on Sunday Nov.29th?,
I'm trying to modify reservation # ------ on the 29th to the 28th and I'm getting an error,
Hi I want to take auto train on dec. 2nd with my car and a cat in a small carrier - information please?,
I would like to know all current reservations made under this account ###########,
"hi ----- , i am looking at travel from jan 10,2016 ,from st.paul mn. to new orleans la.",
i think i bought 3 tickets but was did not get my email tickets,
if i get to the train earlier than my reserved train would i be able to take the earlier train?,
"What do i need to do to use the daytime parking at the jack london square, Oakland station?",
"Hi .. I am looking to book online and haven't done a sleeper for awhile. I will be traveling alone (not sure of dates yet, possible funeral soon) but do I have to purchase a reserved seat",
"Hi, I'm having a problem cancelling the Departure portion of my trip, reservation ------, I want to keep my return trip, but I don't need to take the train on Saturday, Nov. 7th anymore",
What would be the cost of a one way ticket from San Francisco to New York?,
Ive been getting E-mails from cname- but i cannot log on to my account,
"I need a train from union station to tulsa, ok. help finds",
i don't understand your website at all...frustrating to say the least...i want a roundtrip ticket from pittsburgh pa to san antonio tx..leave on the 14th and return on 16th...am a senior....---,
hi conf. ####### do we need to check in today for we leave tomorrow,
"Can I rent a car at any of the cname- stations in the Detroit, MI area?",
"how much is a fare from Gainesville,Ga to El Paso TX anytime",
I would like to surpise my boyfriend of 4 years with train trip on November 21 trip to Austin or Dallas,
I need to travel from Pasadena to Susanville Prison I need help as to what route I should take,
I have an itinerary but cannot make and pay for the reservation. Help!,
trying to finf a station from ga or s c to me,
"Do you have a train going from Billings, Mt to Denver, CO on November 11, 2015",
Does the Pacific Surfliner actually stop in San Diego Old Town as well as downtown San Diego?,
i need to go to fargo north dakota from san diego ca,
do you have a train that goes from los angeles to fresno,
I have filled out the ticket I want to purchase and can't find how to pay for the ticket.,
I just made a reservation for my daughter but she did not receive the reservation on her email.,
how can i get 25% off if I buy 2 weeks ahead,
can you give me a phone number to call to book a train,
What does Error ID 503S mean? I am trying to modify my reservation # ------.,
after purchasing a ticket may I change my time of departure without penalty,
"I keep getting an error when I try to process a trip for January 2016, what is the issue?",
"Hello, I am actually looking for information on the application process for the next round of cname-- Residency .",
I need to book for 9 adults and 1 child do we get a discount,
"i made reservations on a train roundtrip and put in my credit info and the page said dont refresh page or transaction may be interrupted , its been an hour and 1/2 , am I to assume that it didnt go ?",
hi I just made a reservation and realized I had a typo on my main email address - how do I correct it?,
Hi ----- I live in Palm springs Ca. I needed to know where would be the nearest cname- train station where i can get on to Monterey Ca. or near there. Can you help?,
hi ----- I'm having trouble finding out if i can take my car with me,
I don't see a lock in the address bar. Is this site safe?,
"Why can't I find a train route from Solana Beach, CA to Spokane, WA?",
"Just finished your survey, but no space to write my experience about one of your employees on the train, she was very rude to passengers and not helpful with first time travelers. I myself helped them",
do u have ------------- scheduled from lynchburg to alexandria for fri this week,
Can I bring in my reservation number to cname- desk to get a replacement eticket,
"please enter my cname- Guest Rewards ########### to my round trip ticket , reservation number ------",
I want to travel from Lexington KY to Boise Idaho. Is there a way to do this without bus or self transfer?,
I just placed a reservation for November 13th 2015 round trip to Washington DC Union Station and I have not received my eticket.,
I need to find a station near St. Louis Missouri that will take me to Dodge City KS,
"Hi Julia, my daughter missed her train this morning from Lynchburg VA to Alexandra VA. Her reservation Number is ------. Is there anyway I can change her ticket for tomorrow morning November 7th.",
what will it cost to take a train from Philly to new york city,
I am looking for two tickets from new orleans to philadelphia roundtrip,
I need to get on a bus ASAP are there any other bus's i can travel on?,
"Is this fare correct? $162.00 for round trip tickets for 2 adults from Osceola, IA to Fraser,CO?",
I am trying to make a reservation from fresno to san francisco civic center station.,
Can i go to cname- in Dearborn to purchase my roundtrip tickets,
hi ----- I keep getting error id: 720S when I try to price a trip,
Is there an way to take 4 bags on the Hartland Flyer from Dallas Texas to Norman Oklahoma?,
do you have auto trains to myrtle beach sc from wash dc area,
Need to buy ticket to go from Bakersfield to Santa Rosa ca,
We have reservations on the auto train for Nov.12 to Lorton Va. Are the trains up and running because of the past storms?,
Does the Vermonter go all the way from Phila to White River,
I want to redeem points and do a round trip. how do I do that?,
Try to book a train for my mother from newbern ten to Milwaukee wi,
what's the difference between coach seat and business seat on Lake Shore Limited from Buffalo to ALbany NY?,
the mobile app is telling me that my train has been cancelled,
"dOES TRAIN GO STRAIGHT THROUGH FROM rENO, nV TO sAN dIEGO, cA",
"why don't I see an option to purchase the ticket for the 796 Surfliner from Santa Barbara, CA to Ventura, CA at 6:59 departure time on Saturday, November 7, 2015",
Hi. Can I get on at one stop after the one I have on my reservation>,
hi there is traffic and im trying to catch my connecting bus at the transbay terminal. what can i do,
How do I skip the hotel window and move on to passenger info?,
"What schedule will get me from Buffalo, New York to Wilmington, North Carolina?",
"Did the cname- train depart Greensboro, NC headed for Atlanta on time tonight?>",
I need to cancel my trip. How do I go about doing that?,
The the auto train to Florida have wifi in all the cars or just in one car?,
"I have a broken ankle & use a mobile scooter for transportation. As I look to book a ticket, it says ""1 coach wheelchair space"" but the definition shows a spot to park the scooter but not to sit. ??",
Is there a train that goes into Columbus Ohio from East Lansing,
how do I modify the price on a reservation booked under student advantage,
"I need to track a train number, but I dont know the train number but I know the station",
"how much is a round trip ticket from denver, co to grand junction, co for one senior",
Bought one way from NO to Memphis this Sunday. Can you tell me the departure time in New Orleans?,
can you help me apply a promo even though i dont quite fit the criteria,
I am a new member to student advantage and am trying to get my 10% discount on my tickets for cname-...my number won't enter into promo code. DO you know how I go about this?,
I have etickets already. how much time do I need to arrive at the station before my train leaves?,
Im looking for a train going to hamlet from wilmington delware around 11/28,
"I made a reservation with the wrong name, how do I change it?",
What size bags can u take on the train if u can't check them,
Hello! I'm would like to find out about using an cname- pass for retired Southern Pacific employees.,
"What is the closest cname- station to Columbia, Maryland going to Kissimmee, Florida?",
"I'm trying to price a trip from Peoria, IL to Cary, NC. Please assist",
Hi -----. We have tickets from NY penn to Albany at 5:15 and would like to leave earlier. Is that possible,
"Good morning -----, question is I am trying to get a quotation form Bellingham to Portland leaving May 13th and returning May 16th. 2 but",
----- I need to change my departure from 6:55 am on 12/30/2015 to 11 am. My reservation # is ------.,
Is I need to buy a ticket now for next week trip ?,
"I'm trying to get my father from Long Beach, CA to San Jose, CA for the holidays. I'm confused as to how to do it?",
can you catch the cname- from a location different from that printed on your ticket?,
#NAME?,
If we have a retired military ID do we still need to sign up for Veteran Advantage,
Hi searching for a round trip from Bridgeport ct to phil. PA & back from 11/19 to 11/22,
"What time arrival if Dallas departure Nov. 20 , Train 422 to Chicago Union Station?",
does cname- help with booking a trip across the usa west to east,
I am trying to make a reservation and it says system down. Is there a phone number I can call?,
"Good morning, we're from England and are trying to book a train journey for next year, from Los Angeles to Las Vegas. Please can you advise if there is a direct train route, thank you",
does the 8 am train to NYC have a breakfast car on 11-10-15?,
Does a person have to be on the train with the car?,
Hi. I believe I mistakenly deleted the email with confirmation information for my trip on November 25th from NYP to BAL. My name is ------------ and I paid with a mastercard. Can you help me find?,
Hi -----.i was just wondering if i could change my deaprt place,
want to travel from mt. plesant iowa to kirkwood mo. on 12/22/2015 and need to buy a round trip ticket,
how do I get a refund for my ticket? I won't be needing it,
I amking cname- reseverations for 2 people and the other is not a guest rewards member. It appears it will not process without a a memeber rewards number.,
"i am trying to get a train ticket for November 12th this Thursday from Jackson, ms to ladson, sc 29456. can you assist?",
I need a faster way to contact the office of Customer Relations. I have their address. I would like an email or a telephone #.,
What time do I have to arrive to Sanford Auto train by?,
im trying to get a rate but its not allowing me to put in a departure date,
"Going to the chargers game from oceanside, where is SD to I go?",
Hi ----- we are looking for a one day trip from dc to nyc,
What are the hours of the Dinning Car on the California Zepher?,
I cannot find any trains departing from Niagara falls going towards toronto. is the train down?,
Multi-ride tickets - Is it ten round trips or 5 round trips?,
I have not yet received my email ticket. Is there a problem? Thank you,
I need a train time for today from San Clemente to San Diego after 1:00 pm,
unable to reset my password. I don't recall the phone number associated with my account.,
What would be the closest station to French Lick Resort in Indiana?,
"-----, I have reservations for Sunday, November 16th, travelling from St. Louis to Chicago. I inadvertently deleted my email with all info. Have I can have the reservations/tickets resent to me?",
Can I bring a bicycle on the train from New York City Penn Station to Philadelphi?,
when should I see guest rewards for three family members I signed up to guest rewards? It has already been about two weeks.,
"trying to log in, forgot my password and clicked the link but never got it sent to me",
"Hi, I bought the tickets for my whole family from Vancouver BC to Los Angeles. My reservation number is ------. Can I upgrade it from coach seat to a family bedroom?",
Can I make stops in salt lake and Denver on the caliphornia zephyr?,
"my train says 511 null as the train type, what does that mean?",
"It says I hAVE Q\WRONG ZIP CODE, BUT i ENTERED CORRECT NUMBER",
Can I change the return part of my trip to leave from another station?,
How do I book travel from southern ca (camarillo) to San Francisco. I know I need to do a combination of a train and bus.,
I'm looking for a train that leaves Oakland California to Seattle Washington,
"Hi, I need to cancel travel for this Weds and have it placed on an evoucher.",
i made reservations on line for a round trip and the first selection i made i cleared the cart because i wanted to change my selectiondid i just make two reservations,
What does a round trip ticket cost for aaa members on this itinerary,
I have requested a password rest but it has not come through to my email yet,
"I want to know how i can get from Martinez, CA to Las Vegas",
"hello, can I just reserve a roomette instead of a family bedroom? I I will be traveling with my 2 small children who will be sleeping with me anyway, we dont need 4 beds",
We have not received receipts with eTickets for reservation #------ and ------.,
Can I park at Princeton Junction for three days during the week overnight,
I want to use my points for a round trip fare from Chicago Union Station to Spingfield IL leaving Friday 11/13 at 7 a.m. and returning at 4:55 pm from Springfield. How do I do that on line,
I went on your site this morning and put in my trip and I saw one way fares for,
I would like to travel for a day trip from Grover Beach CA to Carpenteria CA....1 AAA Adult & 1 Child 2-12 years old,
"I already bought a ticket, I have a confirmation number. How can I print a ticket",
i would like to purchase ticket from seattle washington to bangor maine,
"I'd like to schedule a one-way ticket from Penn Station NYC to Philadephia on 12/18, but I can't seem to see how to do that on the website.",
"I am traveling to purchase a puppy, can I travel back with him on the train?",
"can we get a train from Jefferson City, MO to Wilmington, DE/",
Good afternoon - is it possible to get a receipt for a trip already taken? Specifically ------,
I need to know what a round trip ticket would be from Denver Colorado to Montrose Colorado. Leaving Denver on 12/04/2015 and returning on 12/08/2015,
i want to talk to an agent to book - can i have a phone number,
"I didn't receive the emailed ticket for my trip on 12/9, from Emeryville, CA to Boston, MA, reservation confirmation no ------. Could you please email it again to --------------------. Thank you.",
I am trying to book 2 adult passengers for 12/24/15 from Greensboro NC to Philadlephia and I selected 3:44 am Saver tickets and it says 20 crescent for depature and to come home it says 79 carolinian,
"Is there a train that goes from Chico, CA to Riverside, ca? I keep seeing bus references",
i got a ticket for the 12 at145 am to i go there onthe 11th,
when is the train arriving in green river utah tonight from Colorado,
How can I add another ticket for a child to my itinerrery,
what do you do what a passenger is left at a station during travel,
I am trying to reset my password but do not know how to log in,
do you have to use a veterans discount card to get veteran discount?,
Im looking at a roundtrip from Cleveland OH to Greenville SC what time will I arrive in Greenville SC if I book it on Dec 5.,
Hi I'm going home from NYC to Hartford CT I have 1 carryon and 1 suitcase approx weight 20kgs .Will I be able to take my bag without hassles. Let me know so I can book the ticket online,
I understand the train that !eft north carolina at 705 pm on 11/10/2015 will be delayed upon arrival to orlando florida?,
"I sent the ticket I bought for a friend to the wrong email address, can you help",
How do I redeem points for a round trip ticket--I only see one way?,
hello-I need to call in payment for a reservation I just booked....this is the first time I have booked cname- in my system,
i want to add trips i just took to my rewards program,
How can I carry checked in baggage on cname from NYC to Washington DC,
"Hi -----, I booked tickets yesterday but never recieved an email with my tickets. confirmation number is ------ and my name is ------------",
----- who would you recommend me contact regarding implementing digital signage to enhance your customer's experience?,
"I am attempting to make a reservation for today. However, when I am asked to verify my Visa card ( new process), it does not recognize the information provided",
I have booked a reservartion # ------ for today but did not get a confirm email with pdf ticket - help,
Hi -----! I bought a train ticket this morning and I cannot seem to locate a confirmation email. Is there a way to see a confirmation email or notification?,
I bought a ticket online but have not gotten a confirmation email,
"Trying to find a train out of bridgeport, ct on december 1st that leaves around 5:00 AM - cannot find?",
"Is the Westwood Los Angeles station, does a train go there or is it a bus from Union Station to there",
Hi -----. Can you help me locate my e-tickets I purchased a while back for a trip to Chicago tomorrow? I can't locate the email in my inbox.,
$95 Saver Fare aboard the Auto Train not giving the 95 dol price,
Our train hit a pedestrian adn we need to get off the train,
"How many seats is ""one reserved coach seat""? The picture shows 4 seats available",
I have an eVoucher credit. How do I apply it to purchase a ticket?,
"I see that on the Adirondack train I can take 2 carryons measuring 28""x22""x14"" -- correct?",
"Hi, I reset my password and it continues to tell me it is incorrect and won't let me log in",
Why isn't there any train schedules listed for West Trenton Train Station? I' was always able to board a train in Ewing.,
"I'd like to add a non-synchronous ticket and seat starting from Newark, NJ <> Baltimore with this ticket. Is that possible?",
"my daughter is traveling with us, can I use my cname- rewards number? She doesn't have one.",
#NAME?,
"I want to see my son who has been living in PA since the summer. It could work out over New Years except cname-- says ""I'm sorry to the myriad of Arrivals and destnation scenarios that I have thrown",
If changing the date of a trip (same departure and destination) is there a penalty?,
we have some guests from the netherlands that tried to purchase tickets for tomorrow morning,
is there a phone # where i can call and ask questions?,
How do I book a train and use my AAA for a discount,
Looking for 2 adult 1 senior and 1 child (8yrs) from Providence to Penn Station NY Saturday am December 5 returning that evening can you tell me the best deals,
student advantage number is not recognized for -------------- i thought it is ####,
I am trying to print out confirmation for Reservation Number ------ and it won't print. How do I get a record of this for my receipts?,
"cost round trip from La Junta , co to los angelas ca",
My member # is ########## and its telling me my account does not exist?,
Id like to register for rewards and it says my email is already in use,
My carryon is two inches longer than size listed on ticket. Can I still use it?,
i can't find any tickets for my request. What do I do?,
can i add my member number to an excisting trip i purchased as a guest,
"I can't log into my account, and I have reset my password with no luck",
Is there a train that goes from Boston to New York that I can check a bag on to?,
"I will like to travel from Atlanta to Boston without using any buses, is that possible?",
I am trying to book a seat to Philadelphia. It say NaN Unreserved coach seat. What does NaN mean,
"If someone needs assistance getting from the vehicle drop off point, to the actual train, how do we arrange that?",
Is there rail service from San Diego CA to Colorado Springs Colorado,
can i change my trip to a later time the same day?,
I just booked a trip and forgot to use the AAA discount. Can I add it now?,
Is the ten-ride ticket good for travel in both directions between stations?,
Do you change trains from NY to Indianapolis on the 51 Cardinal?,
"I am travelling to Harrisburg, PA to the USCTLHA Grand Review. I was told there is a discount rate for 1st and 2nd passengers. Can you confirm?",
Trying to find out if there is a train that runs from flagstaff to I dianapolis,
"hi,. I bought a ticket a few weeks ago for tomorrow and I am not sure where it is. can I print another copy?",
Can open train tickets be purchased? We will be traveling between Rensselaer NY and Penn station,
"Round trip ticket for 1adult leaving from Alexandria va on November 20, 2015 to meridian, ms returning November 22, 2015",
I am not able to log into my account with my password,
I need a train ride from Chicago to Milwaukee on Nov. 29th at 9pm,
"if I booked through a travel agent and have their confirmation, how can I get the actual ticket?",
what if I miss my train? can I take the next scheduled train without additional fees?,
what are the different class of tickets one can buy? for example business class / coach class,
#NAME?,
"I am looking for a receipt for a ticket that was purchased at the cname- station BWI location on 10/19/15, could you help me with that?",
Is that not a train out of Princeton Junction New Jersey after the morning times.,
i cannot process the ticket it will not take my moble number .... UGH,
I am trying to book a train from Tampa FL to Miami FL,
"I bought 2 tickets (reservation ------) from penn sets to Boston for tomorrow morning, and I'm trying to cancel one of the tickets. Is there a way to do that without canceling the whole trip?",
"if someone else buys my ticket for me, do I need to bring anything to the station or is it in the system with my name like airline tickets?",
does a personal assistant ride free with their client with a disability,
I need a train from ABQ to IRV that leaves on May 27,
trying to purchase a ticket for my grandma....I get all the way to purchase screen and it says it's waiting for authentication but never confirms or say why it's not confirming,
We are seniors looking for cost for cname- from Holland to Chicago,
"I think there is an issue with the website. I just purchased two tickets, but it does not appear to have gone through and redirected me to the home page with an error message. Who can I contact?",
I just booked a ticket and misspelled the passengers last name. I need to fix it,
"Difference between Sunset Limited and Texas Eagle trains; same time schedule from maricopa to Los Angeles, CA",
iwas looking to travel from erie to new york city on january 11 and coming back on the 14th I have a fare of 645.00 and I see a 20% discount I was hoping to use can you confirm that discount?,
I want to make a reservation please. Do you have a phone number I could call?,
Already have tix booked coming from Salt Lake City on 12/27. Can I upgrade to sleeper,
Where can I find the list of cities and times that the auto train goes through? There used to be a schedule of aprox. times on a leaflet that was given out at the time of check in.,
I just changed my password but the system won't log me in,
I am trying to go from Solana Beach to LAX. The closest station is Union Station. How far is the airport from Union Station?,
Is it safe to leave my SUV at the station for 4 days over thanksgiving?,
"I just bought tickets and have not gotten my confirmation Email. Also, the page crashed on me before I could ger my confirmation number. What do I do to get the Etickets resent to me.",
Whenever I check in my luggage do they take it and put it on the train or I have to take it to the train myself.,
I'm trying to reserve a coach seat on the 449 Lake Shore Limited for Friday Nov.20th,
"What are the black-out dates for rewards for Nov. , Dec. and Jan. - 2015/2016",
"need to book trip from gardiner, Montana to ann arbor, MI for the 8th of january",
is it cheaper for a 2 day stay as opposed to one day,
"Arrival time for the Vermonter out of Metro Park, Nj to Hartford, CT",
hi ----- . does the train take me from bellingham to seatac,
What are the fares from Washinton DC to New York City . Round Trip?,
price for a sleeper for 2 with a bathroom going to Seattle,
"I am trying to access my account, I forgot my password, and the website has not sent me a link yet to reset the password",
They are saying there is a system issue preventing me from prossing.,
hi I want to travel boston to Miami with stop in Washington dc,
Your site is soooooooooooooo frustrating! I am trying to make a reservation and it is not accepting my password. So I used the Forgot the password tool and the site does not give me the chance to crea,
i bought a ticket from ft myers to charlotteand i cant find my res number to get the itennerary,
"Hi, the website doesn't appear to be working, not letting me select a departure. Is there a number I can call to book?",
Is there atoll free customer service number where I can speak to someone about funds taken from my account,
I see my departure time for my round trip on the first leg of my trip but I cant access my departure time for the return trip back?,
where do I go in Union Station Chicago to catch my bus thruway connector,
When booking for the 5:45pm train. Will it be considered an afternoon or evening booking?,
where does the Acela from Boston South Station to Penn Station make stops,
We are traveling from St. Louis to Chicago in December. There were significant delays a few weeks ago because of construction and trains were rerouted. Have those issues been resolved?,
can I ship a vehicle from brownsville tx to clarckston Mi without going with it,
i made a reservation and paid yesterday and now want to print out my receipt and ticket. i don't find it on the website?,
4 passenger trip from Aberdeen to ft. Lauderdale feb 9 thru feb 12 cost round trip with vehicle,
If i purchase a ticket online and dont have a printer how do I get the ticket?,
Hey is there a discount t offered if I purchase 10 tickets at one time,
"Why is there no morning train schedule from Santa Ana towards Carlsbad for November 2, 2015.",
"I ordered tickets for 10/25 and 10/27 a few days agao but have not received the email with the confirmation, yes, --------------- (----------------: business class goleta, CA to atascedero, CA and ret",
Hi do i have to take a car seat for a 9 month baby?,
I need to change a time of a train I just purchased,
Hi! My daughter is taking the cname- train from Columbia South Carolina to Jacksonville Florida. Can you tell me where the station is located in Jacksonville Florida?,
can I take a different tain time than what I booked it I need to?,
I have reset my password several times but every time I try to log in it tells me the password is not valid even though I have had successful resets each time.,
"I want to know if there's a direct train from Nashua, NH or Tyngsboro, MA to Sarasota, FL",
is there any trains leaving Tucson to long beach on the 25,
is the schedule for shipments the same as the schedule for passenger tickets?,
I would like to speak with someone about purchasing round trip tickets for my mom. I have never done this before,
"Hi -----, I have a friend who says he is arriving in Corvallis (CVI) tomorrow evening around 6:30PM... I can find no way this happens",
I am wondering about getting tickets for myself (adult) and my son (age 12. I would like to travel from Syracuse NY to West Palm Beach Florida,
how much would it cost for a round trip ticket from salem oregon to seattle washington,
My daughter is blind. do we get a discount on her ticket,
"I am trying to book a trip for tomorrow night from Lodi Ca. to Eugene, Or for one Senior and the website says that these stops are not available",
i have a ticket number but cannot locate ny reservation number. Ticket # is #############,
How many meals are included on the Texas Eagle from SAS to STL?,
is there a reason i am populating all areas in the 'buy tickets' process and not able to click on 'find trains' button?,
I tried to reset my password and changed it several times...not working,
"Hey -----, is there a train that goes from palmdale CA to phoenix AZ",
On the ticket I just purchased I realized that I have my son listed as a senior citizen and my mom as an adult. I accidentally entered by son in the senior citizen line and not my mom,
"Trying to buy ticket and it has gotten stuck at this message ""For your security, please be patient while your bank authenticates this transaction. Do not refresh this page or click the back button or",
"Hi. I am trying to book travel between Rochester Ny and Columbus, Ohio. Is there such service?.",
why was it more expensive on friday....is there a way i can get the refund and buy it at the lower amount?,
"Hello, -----, My original password no longer seems to work and I've tried unsuccessfully twice to reset my password. The message states that a temporary password has been sent to me email, but hasn'",
I am trying to reset my cname-.com login password. My email is ------------------------,
I need to get tickets for two persons traveling in the US from Bali,
do i have to check luggage if going from one station to the airport,
"I tried to apply my voucher #----------, but it didn't accept and charged my credit card full amount?",
I am trying to find seats on the auto train for the 95$ promotion,
Is it possible to retrieve an invoice for a trip taken several weeks ago?,
"HI ----- , IF I DONT HAVE A CREDIT CARD , CAN I STILL RESERVE cname- TICKETS ?",
The ticket I am about to purchase has the wrong departure train listed....how do I edit that?,
I am locked out of my account and am certain that my email ------------------- and password ###### should work!!! HELP!,
I need help deciding what train I can take from La Grange IL to Champaign IL,
if I buy a ticket online - how does that work when I arrive at the station?,
I am in CT and want to take the auto train to Florida. What is the nearest location to depart,
I think I may have put the wrong email address for receiving my eticket,
Is there a train from Hatford Ct. To Raleigh N.C. ? Leaving December 30th,
it won't go to payment ... there are no red flags with regards to the information given,
"Are there any trains that leave from Tacoma,Wa in the morning Thursday the 19th",
I have my husband's veterans advantage member id where do I enter it,
looking for round trip from Portland Maine leaving on Nov23 to Trenton and leaving on Nov 29,
Why does the website tell me there is no Train 178 when I try to see its arrival status inBoston?,
I tried purchasing a round trip ticket and got a message about being patient while my bank authenticates the transaction. it has been a few hours should i try aagin,
Hi ----- I have a ticket on file that i s paid and I have not used yet it was for a cabin but if not avail help check another day my name Is --------------,
What if I miss my train can I tea safer my ticket to next available train?,
is there any train from Philadelphia 30 th street to Asahland Virginia,
I cancelled a reservation and am supposed to receive a refund. Why hasn't the money been returned to my account?,
"is there a train that goes directly from san diego,ca to the bay area in california...maybe on the coast and that does not switch trains or onto a bus?",
Hi i have a emotional support dog I have a doctor's note saying he's a emotional dog but I haven't registered him yet,
I'd like to modify my trip but its not letting me change the date,
If I travel long distance can I get off at towns along the way and then get back on the the next train?,
I'm lookinf for hotels that are closer to the Plaza center in Orlando,
I was stuckon a train in Oxnard for several hours last night.,
"Hi, I am riding on the NE Regional for Christmas and I need to take my dog with me",
"Does the Saluki run to Chicago Union Station on Friday, Nov. 27?",
"hi, are there any trains going from phiilly 30th street station to new brunswick nj monday dec 21 in the morning?",
I booked a trip for 2 students. Ticket # ############# Need e ticket,
"What deal should I use to save money going to New York City from Providence, RI?",
I am bringing my daughter who less than 2 yrs old and got my ticket using cname- points. Nowhere did it say anything about my daughter. Do I need anything for her on the train?,
I'm trying to book a train. I think when i choose business class seat it is messing things up,
"We are taking a train from Pittsburgh to Chicago, can we check in luggage?",
"I have a quick question. I just wanted to know before I buy my ticket, if I don't make it to the scheduled time of departure, can I ride in the next available trip going to the same destination? Thank",
"How long is the train ride from Philadelphia, PA 30th street to Washington, DC Union Station",
"I am in the hospital. I don't have my ticket with me, but I need to cancel my trip ..Fort worth to Austin and return.",
I just filled out all my information for a ticket purchase and then the page timed out so I don't know if I actually purchased the tickets. What do I do now?,
I would like to look into getting a trip voucher for a Christmas present,
I will be traveling from Canada to US to visit friends and would like to take gifts. Are there restrictions?,
"Can one leave from the Lompoc, CA station and travel to San Diego, CA?",
are there any stations near --------------------------------------------------------------------,
I am going to san diego and need to know which of the San Diego is at Santa Fe? SAN DIEGO (SAN) OR SAN DIEGO SORENTO VALLEY? SO I CAN BOOK IT NOW. -----,
i purchased 4 tickets from Vancouver to everett butnow need to go to seattle. what is best way to extend our tickets?,
im looking to see what the fare would be from san luis Obispo to los angeles round trip dec 14 departure return dec 18,
"I NEED THE PRICE FOR ONE TICKET, SENIOR RATE, FROM MKE TO WPB. THE DATES ARE: jANUARY 1ST TO jANUARY 23, 2016",
"What time does the 612 pm train from Washington, D.C. Arrive to metro park on November 24",
